Year,Country,Total,Solid Fuel,Liquid Fuel,Gas Fuel,Cemend,Gas Flaring,Per Capita,Bunker Fuels
2014,Saudi Arabia,163907,0,112689,43430,7782,5,5.31,4718
2014,Senegal,2415,235,1493,21,666,0,0.16,284
2014,Serbia,10272,6721,2242,1005,304,0,1.16,70
2014,Seychelles,135,0,135,0,0,0,1.41,155
2014,Sierra Leone,357,0,311,0,46,0,0.06,7
2014,Singapore,15373,456,9118,5800,0,0,2.79,42028
2014,Solvakia,8366,3624,1932,2356,451,3,1.54,29
2014,Solvenia,3494,1136,1788,391,180,0,1.69,71
2014,Solomon Islands,55,0,55,0,0,0,0.1,4
2014,Somalia,166,0,166,0,0,0,0.02,57
2014,South Africa,133562,113068,16448,2404,1642,0,2.47,2945
2014,Spain,63806,11852,35189,14781,1984,0,1.38,9892
2014,Sri Lanka,5016,1059,3701,0,256,0,0.24,681
2014,St. Kitts and Nevis,63,0,63,0,0,0,1.14,4
2014,St. Pierre and Miquelon,21,0,21,0,0,0,3.33,5
2014,St. Vincent and the Grenadines,57,0,57,0,0,0,0.52,0
2014,Suriname,543,0,522,2,18,1,1.01,66
2014,Swaziland,328,131,197,0,0,0,0.26,1
2014,Sweden,11841,2183,8822,496,340,0,1.22,2107
2014,Switzerland,9628,148,7230,1668,583,0,1.17,1312
2014,Syria,8373,1,5198,2480,517,178,0.45,219
2014,Taiwan,72013,42516,18985,8526,1985,0,3.08,3046
2014,Tajikistan,1415,404,689,166,156,0,0.17,52
2014,Thailand,86232,16612,41230,23633,4757,0,1.27,3980
2014,TIMOR-LESTE (FORMERLY EAST TIMOR),128,0,128,0,0,0,0.11,3
2014,Togo,715,0,467,20,228,0,0.1,81
2014,Tonga,33,0,33,0,0,0,0.31,3
2014,Trinidad and Tobago,12619,0,1243,11262,114,0,9.32,575
2014,Tunisia,7862,0,3235,3291,1241,96,0.71,239
2014,Turkey,94350,37875,21662,25111,9701,0,1.22,3054
2014,Turkmenistan,18659,0,5453,12812,394,0,3.52,402
2014,Turks and Caicos Islands,56,0,56,0,0,0,1.66,0
2014,Tuvalu,3,0,3,0,0,0,0,0
